,System,MAP,Avg Query Time (ms),Std Query Time (ms),P@5,R@5,NDCG@5,P@10,R@10,NDCG@10,P@20,R@20,NDCG@20
Boolean,Boolean,0.028600183601567,0.0981807708740234,0.0547028868100465,0.6599999999999999,0.0076895575855291,0.6639945385422765,0.6599999999999999,0.0155279438491378,0.662169669932383,0.6699999999999999,0.0307397980069029,0.6671759181343858
TF-IDF,TF-IDF,0.039414187792368,6.595945358276367,0.9549016576921332,1.0,0.0099857401520711,1.0,1.0,0.0199714803041422,1.0,0.99,0.0394751458440294,0.9932911536152812
BM25,BM25,0.0384470565290342,1.9172906875610352,0.7497161445262628,0.98,0.0097048412756666,0.9853931650157292,0.98,0.0193229343689141,0.9826813366651772,0.99,0.0392944146730564,0.9888231001647352
Hybrid-TwoStage,Hybrid-TwoStage,0.0330584782223924,2.3496150970458984,0.9630845713892208,0.78,0.008409522513891335,0.7868794922487659,0.79,0.0171866920866062,0.7914856882358379,0.775,0.03380540170352601,0.7802432080572628
Hybrid-Fusion,Hybrid-Fusion,0.0387433872889514,9.321165084838867,0.622212818178454,0.9800000000000001,0.009704841275666617,0.9868794922487659,0.99,0.019690581427737726,0.9914856882358378,0.99,0.039294414673056416,0.990666677376263
