,System,MAP,Avg Query Time (ms),Std Query Time (ms),P@5,R@5,NDCG@5,P@10,R@10,NDCG@10,P@20,R@20,NDCG@20
Boolean,Boolean,0.028600183601567093,0.09818077087402344,0.05470288681004652,0.6599999999999999,0.007689557585529141,0.6639945385422765,0.6599999999999999,0.015527943849137828,0.662169669932383,0.6699999999999999,0.03073979800690299,0.6671759181343858
TF-IDF,TF-IDF,0.03941418779236805,6.595945358276367,0.9549016576921331,1.0,0.009985740152071109,1.0,1.0,0.019971480304142218,1.0,0.99,0.03947514584402948,0.9932911536152812
BM25,BM25,0.038447056529034226,1.9172906875610352,0.7497161445262628,0.9800000000000001,0.009704841275666617,0.9853931650157293,0.9800000000000001,0.019322934368914198,0.9826813366651773,0.99,0.039294414673056416,0.9888231001647352
